,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT
2025-03-11,82932.99,1923.43,125.35,551.61,2.1711
2025-03-12,83680.12,1908.2,126.62,569.87,2.2396
2025-03-13,81115.78,1864.59,123.37,579.8,2.2527
2025-03-14,83983.2,1911.65,133.54,587.76,2.3564
2025-03-15,84338.44,1937.17,135.86,619.83,2.3911
2025-03-16,82574.53,1887.0,126.13,602.2,2.2938
2025-03-17,84010.03,1926.31,128.01,631.69,2.3382
2025-03-18,82715.03,1931.54,125.33,627.81,2.2851
2025-03-19,86845.94,2056.06,135.33,618.7,2.5469
2025-03-20,84223.39,1983.79,127.6,630.47,2.4361
2025-03-21,84088.79,1965.75,128.48,635.17,2.3809
2025-03-22,83840.59,1980.69,128.51,627.01,2.3711
2025-03-23,86082.5,2005.99,132.84,623.79,2.4393
2025-03-24,87498.16,2081.2,141.01,637.08,2.4501
2025-03-25,87392.87,2066.15,143.64,629.82,2.4492
2025-03-26,86909.17,2009.52,137.34,617.99,2.3494
2025-03-27,87232.01,2003.66,138.43,637.36,2.341
2025-03-28,84424.38,1896.9,129.49,619.81,2.2073
2025-03-29,82648.54,1828.08,124.58,602.99,2.1351
2025-03-30,82389.99,1807.74,124.82,602.2,2.1369
2025-03-31,82550.01,1822.43,124.54,604.81,2.0899
2025-04-01,85158.34,1904.98,126.67,611.13,2.1387
2025-04-02,82516.29,1795.22,117.42,590.68,2.0237
2025-04-03,83213.09,1817.23,117.17,592.67,2.0648
2025-04-04,83889.87,1816.87,122.79,597.71,2.1302
2025-04-05,83537.99,1806.01,120.32,593.13,2.1442
2025-04-06,78430.0,1580.76,105.91,555.54,1.9218
2025-04-07,79163.24,1553.04,106.99,554.6,1.8987
2025-04-08,76322.42,1473.41,105.4,553.72,1.7963
2025-04-09,82615.22,1669.51,119.05,582.32,2.0529
2025-04-10,79607.3,1522.25,112.81,578.03,1.9658
2025-04-11,83423.84,1566.85,121.41,585.93,2.0225
2025-04-12,85276.9,1644.18,132.24,597.29,2.1598
2025-04-13,83760.0,1597.76,128.38,584.28,2.1196
2025-04-14,84591.58,1623.77,129.42,584.54,2.1275
2025-04-15,83643.99,1588.78,126.11,579.52,2.0842
2025-04-16,84030.38,1577.14,131.33,582.8,2.0834
2025-04-17,84947.91,1583.62,134.83,590.49,2.0673
2025-04-18,84474.69,1588.6,134.04,591.71,2.0619
2025-04-19,85077.01,1613.27,139.87,591.73,2.0877
2025-04-20,85179.24,1587.36,137.86,592.77,2.0787
2025-04-21,87516.23,1579.57,136.56,597.34,2.0855
2025-04-22,93442.99,1756.26,148.79,618.51,2.2139
2025-04-23,93691.08,1795.07,151.1,605.71,2.2184
2025-04-24,93980.47,1769.65,152.55,601.55,2.2049
2025-04-25,94638.68,1784.6,150.82,599.91,2.1812
2025-04-26,94628.0,1820.88,149.21,607.23,2.1912
2025-04-27,93749.3,1791.29,147.98,603.46,2.252
2025-04-28,95011.18,1799.88,147.84,606.16,2.2949
2025-04-29,94256.82,1797.81,146.31,601.0,2.238
2025-04-30,94172.0,1793.61,147.54,599.88,2.1908
2025-05-01,96489.91,1838.11,150.85,599.63,2.2123
2025-05-02,96887.14,1842.2,148.05,600.69,2.2093
2025-05-03,95856.42,1833.52,146.71,599.36,2.1872
2025-05-04,94277.62,1808.86,143.95,586.03,2.156
2025-05-05,94733.68,1820.19,146.72,597.61,2.1306
2025-05-06,96834.02,1817.0,146.88,602.57,2.155
2025-05-07,97030.5,1811.11,147.32,602.7,2.1265
2025-05-08,103261.6,2207.39,164.46,629.17,2.3272
2025-05-09,102971.99,2345.04,172.78,666.29,2.3439
2025-05-10,104809.53,2583.23,177.89,663.9,2.4711
2025-05-11,104118.0,2514.57,173.19,651.15,2.367
2025-05-12,102791.32,2495.47,174.22,660.07,2.5439
2025-05-13,104103.72,2679.71,183.75,664.13,2.5829
2025-05-14,103507.82,2609.74,176.64,652.47,2.5503
2025-05-15,103763.71,2548.69,169.16,651.88,2.3856
2025-05-16,103463.9,2537.12,167.4,646.76,2.3798
2025-05-17,103126.65,2475.08,165.94,639.51,2.3531
2025-05-18,106454.26,2497.78,173.3,651.53,2.428
2025-05-19,105573.74,2528.14,166.86,649.62,2.3803
2025-05-20,106849.99,2524.19,168.59,650.0,2.3565
2025-05-21,109643.99,2550.99,173.53,673.31,2.3952
2025-05-22,111696.21,2664.82,179.68,686.57,2.4311
2025-05-23,107318.3,2526.5,174.01,656.98,2.2966
2025-05-24,107761.91,2530.4,175.87,668.01,2.3303
2025-05-25,109004.19,2551.22,175.74,669.44,2.3417
2025-05-26,109434.79,2563.7,174.91,674.29,2.3103
2025-05-27,108938.17,2660.81,176.71,686.91,2.3168
2025-05-28,107781.78,2681.6,172.21,686.89,2.2742
2025-05-29,105589.75,2631.39,166.71,675.02,2.2442
2025-05-30,103985.48,2531.34,156.2,655.36,2.1398
2025-05-31,104591.88,2528.06,156.45,658.01,2.1738
2025-06-01,105642.93,2539.21,157.68,660.77,2.1792
2025-06-02,105857.99,2607.41,156.83,665.93,2.1965
2025-06-03,105376.89,2593.36,155.19,661.59,2.2446
2025-06-04,104696.86,2607.68,153.26,663.23,2.2009
2025-06-05,101508.68,2414.01,144.29,633.32,2.0936
2025-06-06,104288.44,2476.1,147.83,642.7,2.1598
2025-06-07,105552.15,2524.63,150.06,650.82,2.1769
2025-06-08,105734.0,2509.83,152.45,652.0,2.267
2025-06-09,110263.02,2680.13,161.16,665.58,2.3211
2025-06-10,110274.39,2816.4,165.12,673.51,2.3074
2025-06-11,108645.12,2771.61,160.97,667.43,2.2704
2025-06-12,105671.73,2642.65,152.32,654.75,2.1899
2025-06-13,106066.59,2579.19,148.6,655.35,2.1472
2025-06-14,105414.64,2530.76,144.64,645.61,2.1394
2025-06-15,105594.01,2547.61,152.97,648.19,2.1655
2025-06-16,106794.53,2544.17,150.72,650.74,2.238
2025-06-17,104551.17,2509.95,147.57,648.08,2.159
2025-06-18,104886.78,2525.0,146.34,644.77,2.1705
2025-06-19,104658.59,2521.12,147.04,644.65,2.1648
2025-06-20,103297.99,2406.49,140.11,641.61,2.1194
2025-06-21,102120.01,2295.73,135.43,628.97,2.0632
2025-06-22,100963.87,2227.7,131.71,615.81,2.0172
2025-06-23,105333.93,2411.66,144.51,640.49,2.1584
2025-06-24,106083.0,2448.45,145.92,643.53,2.1898
2025-06-25,107340.58,2418.49,143.57,646.07,2.1859
2025-06-26,106947.06,2415.96,139.06,642.3,2.1054
2025-06-27,107047.59,2423.17,142.09,645.71,2.1419
2025-06-28,107296.79,2435.62,150.72,648.6,2.1854
2025-06-29,108356.93,2500.09,153.32,654.9,2.2061
2025-06-30,107146.5,2485.47,154.81,656.9,2.2362
2025-07-01,105681.14,2405.01,146.88,646.33,2.172
2025-07-02,108849.6,2570.41,152.27,659.71,2.2336
2025-07-03,109584.78,2591.25,152.36,663.59,2.2569
2025-07-04,107984.24,2508.04,147.7,653.6,2.2205
2025-07-05,108198.12,2516.41,147.55,656.16,2.2178
2025-07-06,109203.84,2570.35,151.86,663.13,2.2709
2025-07-07,108262.94,2542.29,148.88,661.06,2.2708
2025-07-08,108922.98,2615.25,151.67,660.63,2.3108
2025-07-09,111233.99,2768.74,157.05,668.68,2.4038
2025-07-10,116010.0,2951.29,164.34,685.8,2.5471
2025-07-11,117527.66,2958.22,162.93,689.99,2.7322
2025-07-12,117420.0,2943.28,160.69,685.86,2.7395
2025-07-13,119086.64,2972.03,161.15,692.0,2.8361
2025-07-14,119841.18,3013.62,162.21,689.12,2.9582
2025-07-15,117758.09,3137.89,163.98,689.92,2.919
2025-07-16,118630.43,3371.35,173.63,708.61,3.038
2025-07-17,119177.56,3476.87,175.87,720.65,3.4814
2025-07-18,117924.84,3546.92,177.28,729.92,3.4135
2025-07-19,117840.0,3592.01,176.96,733.2,3.4244
2025-07-20,117265.12,3756.69,181.43,756.82,3.454
2025-07-21,117380.36,3762.33,195.72,766.22,3.5495
2025-07-22,119954.42,3746.21,205.7,786.68,3.5504
2025-07-23,118755.99,3628.29,189.4,776.74,3.1838
2025-07-24,118340.99,3706.94,182.87,770.74,3.1453
2025-07-25,117614.31,3724.96,186.76,785.45,3.1423
2025-07-26,117919.99,3741.1,184.88,793.29,3.1662
2025-07-27,119415.55,3872.1,188.64,844.0,3.2389
2025-07-28,118062.32,3799.0,183.11,824.07,3.1235
2025-07-29,117950.76,3793.79,181.48,805.1,3.128
2025-07-30,117840.3,3810.0,177.77,793.51,3.0966
2025-07-31,115764.08,3698.39,172.22,783.14,3.0224
2025-08-01,113297.93,3488.2,162.71,757.08,2.9613
2025-08-02,112546.35,3393.94,158.48,736.42,2.7695
2025-08-03,114208.8,3496.74,161.97,751.21,2.948
2025-08-04,115055.03,3720.99,169.55,768.63,3.0716
2025-08-05,114129.75,3612.0,164.09,755.13,2.9623
2025-08-06,114992.27,3683.31,168.09,769.55,2.9908
2025-08-07,117472.01,3910.31,175.36,788.67,3.3197
2025-08-08,116674.74,4009.5,176.78,793.5,3.2859
2025-08-09,116462.25,4260.62,179.95,798.83,3.2259
2025-08-10,119294.01,4250.57,182.66,807.22,3.187
2025-08-11,118686.0,4223.22,174.84,805.09,3.1295
2025-08-12,120134.08,4590.52,191.78,832.47,3.2676
2025-08-13,123306.43,4749.3,201.51,848.01,3.2744
2025-08-14,118295.09,4546.84,192.47,840.42,3.0792
2025-08-15,117342.05,4439.47,185.72,827.81,3.0779
2025-08-16,117380.66,4421.99,189.6,838.71,3.1055
2025-08-17,117405.01,4472.33,190.99,855.38,3.0877
2025-08-18,116227.05,4312.99,182.94,846.99,3.0616
2025-08-19,112872.94,4075.59,176.22,824.11,2.8608
2025-08-20,114271.24,4336.16,187.94,869.05,2.9512
2025-08-21,112500.0,4225.3,180.29,839.49,2.8519
2025-08-22,116935.99,4832.07,200.69,900.21,3.0744
2025-08-23,115438.05,4778.4,204.14,880.42,3.0485
2025-08-24,113493.59,4780.15,205.98,876.51,3.0258
2025-08-25,110111.98,4376.18,187.2,839.32,2.8584
2025-08-26,111763.22,4600.63,195.86,863.7,3.0123
2025-08-27,111262.01,4506.71,202.95,855.18,2.9688
2025-08-28,112566.9,4511.21,214.43,873.47,2.9665
2025-08-29,108377.4,4360.18,205.08,862.3,2.8195
2025-08-30,108816.33,4373.7,202.7,862.0,2.8181
2025-08-31,108246.35,4391.83,200.62,857.65,2.7757
2025-09-01,109237.42,4314.5,197.32,845.68,2.7589
2025-09-02,111240.01,4326.5,209.65,851.8,2.862
2025-09-03,111705.71,4450.46,210.77,854.76,2.8443
2025-09-04,110730.87,4297.55,202.32,843.63,2.7946
2025-09-05,110659.99,4307.45,203.36,850.14,2.8147
2025-09-06,110187.97,4273.14,200.16,860.85,2.8098
2025-09-07,111137.34,4306.19,206.35,880.05,2.877
2025-09-08,112065.23,4306.37,214.11,878.08,2.9697
2025-09-09,111546.39,4310.09,217.21,880.01,2.9474
2025-09-10,113960.0,4349.32,224.07,893.77,2.9834
2025-09-11,115482.69,4458.82,228.73,902.77,3.0398
2025-09-12,116029.42,4712.16,242.18,924.8,3.1054
2025-09-13,115918.29,4666.53,242.38,933.68,3.1193
2025-09-14,115268.01,4604.49,239.76,926.51,3.0279
2025-09-15,115349.71,4523.74,234.31,919.68,2.9969
2025-09-16,116788.96,4501.29,236.96,955.65,3.0376
2025-09-17,116447.59,4590.53,244.84,989.98,3.0841
2025-09-18,117073.53,4587.66,247.5,981.04,3.0735
2025-09-19,115632.38,4468.59,238.53,984.1,2.9901
2025-09-20,115685.63,4480.42,239.48,1043.77,2.975
2025-09-21,115232.29,4444.97,236.16,1047.8,2.9701
2025-09-22,112650.99,4199.08,220.38,992.9,2.8526
2025-09-23,111998.8,4164.26,213.3,1015.98,2.8247
2025-09-24,113307.0,4152.81,211.6,1018.49,2.9257
2025-09-25,108994.49,3874.36,192.74,945.9,2.7435
2025-09-26,109643.46,4032.24,205.17,960.8,2.7835
2025-09-27,109635.85,4018.38,203.46,968.45,2.8047
2025-09-28,112163.95,4142.16,210.83,993.01,2.8674
2025-09-29,114311.96,4215.07,212.75,1029.79,2.8801
2025-09-30,114048.93,4145.15,208.68,1008.51,2.8468
2025-10-01,118594.99,4348.03,222.04,1026.5,2.9485
2025-10-02,120529.35,4484.35,234.74,1090.22,3.0389
2025-10-03,122232.0,4512.87,232.84,1189.4,3.0401
2025-10-04,122391.0,4487.15,227.86,1150.75,2.9685
2025-10-05,123482.31,4514.32,228.56,1167.38,2.9697
2025-10-06,124658.54,4684.01,232.35,1223.19,2.9883
2025-10-07,121332.95,4447.7,219.97,1304.43,2.852
2025-10-08,123306.0,4525.72,229.02,1307.4,2.8797
2025-10-09,121662.4,4368.09,220.93,1255.35,2.8021
2025-10-10,112774.5,3829.72,188.43,1102.47,2.3704
2025-10-11,110644.4,3746.79,177.62,1135.07,2.3819
2025-10-12,114958.8,4152.29,197.0,1302.65,2.5282
2025-10-13,115166.0,4240.85,208.69,1294.55,2.6052
2025-10-14,113028.14,4125.02,202.44,1208.52,2.5033
2025-10-15,110763.28,3985.61,193.84,1162.57,2.4109
2025-10-16,108194.28,3894.51,184.85,1144.83,2.328
2025-10-17,106431.68,3831.57,181.96,1071.15,2.2936
2025-10-18,107185.01,3889.21,187.56,1092.43,2.3596
2025-10-19,108642.78,3982.58,187.86,1109.88,2.3908
2025-10-20,110532.09,3979.22,189.71,1100.19,2.4948
2025-10-21,108297.67,3873.05,185.63,1057.16,2.4222
2025-10-22,107567.44,3805.53,180.12,1071.82,2.3647
2025-10-23,110078.18,3856.8,191.35,1126.72,2.3947
2025-10-24,111004.89,3934.88,193.59,1109.01,2.5103
2025-10-25,111646.27,3953.82,193.84,1116.53,2.5959
2025-10-26,114559.4,4158.46,200.03,1138.19,2.6461
2025-10-27,114107.65,4120.15,198.7,1138.88,2.634
2025-10-28,112898.45,3979.2,194.15,1103.45,2.6034
2025-10-29,110021.29,3902.99,193.88,1107.7,2.5502
2025-10-30,108322.88,3805.09,184.69,1079.05,2.4393
2025-10-31,109608.01,3847.99,187.21,1088.9,2.5097
2025-11-01,110098.1,3873.77,186.35,1094.53,2.5053
2025-11-02,110540.68,3906.58,187.71,1083.25,2.5267
2025-11-03,106583.04,3603.83,166.06,993.54,2.3096
2025-11-04,101497.22,3287.05,155.03,936.77,2.2053
2025-11-05,103885.16,3424.29,162.37,959.33,2.3432
2025-11-06,101346.04,3315.14,155.28,950.4,2.213
2025-11-07,103339.08,3436.05,161.79,991.15,2.3154
2025-11-08,102312.94,3401.51,158.02,991.03,2.2863
2025-11-09,104722.96,3583.46,164.53,996.63,2.3662
2025-11-10,106011.13,3567.85,167.31,991.98,2.526
2025-11-11,103058.99,3417.76,154.63,958.08,2.3915
2025-11-12,101654.37,3414.92,153.42,952.86,2.3879
2025-11-13,99692.02,3231.54,144.73,927.15,2.3225
2025-11-14,94594.0,3112.4,138.92,915.25,2.2443
2025-11-15,95596.24,3167.88,139.61,932.28,2.2372
2025-11-16,94261.44,3095.29,137.17,926.56,2.2149
2025-11-17,92215.14,3031.44,130.99,907.36,2.1637
2025-11-18,92960.83,3123.66,140.69,932.79,2.2172
2025-11-19,91554.96,3025.48,137.06,897.77,2.1098
2025-11-20,86637.23,2834.22,133.67,866.51,1.9999
2025-11-21,85129.43,2765.85,128.68,830.46,1.9509
2025-11-22,84739.74,2770.12,127.59,833.78,1.9509
2025-11-23,86830.0,2802.16,130.58,843.6,2.0491
2025-11-24,88300.01,2953.38,138.44,864.92,2.2276
2025-11-25,87369.96,2959.36,138.96,862.57,2.2024
2025-11-26,90484.02,3026.56,143.02,891.78,2.2233
2025-11-27,91333.95,3015.23,140.85,895.74,2.1999
2025-11-28,90890.7,3031.15,137.33,887.19,2.1795
2025-11-29,90802.44,2989.16,135.91,872.9,2.2009
2025-11-30,90360.0,2991.26,133.48,875.31,2.155
2025-12-01,86286.01,2799.07,126.66,826.61,2.0297
2025-12-02,91277.88,2996.07,138.68,876.61,2.1532
2025-12-03,93429.95,3188.36,144.67,920.76,2.1976
2025-12-04,92078.06,3133.26,139.01,899.92,2.096
2025-12-05,89330.04,3021.78,133.29,883.57,2.0344
2025-12-06,89236.79,3038.06,132.19,890.38,2.0309
2025-12-07,90395.31,3059.85,132.24,894.37,2.0442
2025-12-08,90634.34,3124.16,133.25,897.12,2.0724
2025-12-09,92678.8,3318.04,137.88,897.3,2.1062
2025-12-10,92015.37,3324.14,136.26,893.43,2.0418
2025-12-11,92513.38,3237.39,136.41,885.91,2.034
2025-12-12,90268.42,3084.86,132.27,881.58,2.0074
2025-12-13,90240.01,3114.64,133.14,896.82,2.0227
2025-12-14,88172.17,3063.5,129.4,877.27,1.9784
2025-12-15,86432.08,2964.85,127.81,858.6,1.8981
2025-12-16,87863.42,2962.3,129.15,875.63,1.9297
2025-12-17,86243.22,2833.49,123.27,843.07,1.8627
2025-12-18,85516.41,2828.57,119.6,830.07,1.8076
2025-12-19,88136.94,2979.5,126.27,856.17,1.9092
2025-12-20,88360.9,2977.93,125.81,854.17,1.9335
2025-12-21,88658.86,3002.02,126.03,858.64,1.9223
2025-12-22,88620.79,3009.49,125.93,858.66,1.9043
2025-12-23,87486.0,2965.02,124.01,844.3,1.8734
2025-12-24,87669.45,2947.47,122.53,846.58,1.8628
2025-12-25,87225.27,2903.95,120.06,829.64,1.8326
2025-12-26,87369.56,2927.99,122.26,834.72,1.8437
2025-12-27,87877.01,2949.05,124.73,845.04,1.8735
2025-12-28,87952.71,2950.91,125.27,859.32,1.8654
2025-12-29,87237.13,2937.9,123.28,852.46,1.8508
2025-12-30,88485.49,2973.69,125.01,861.65,1.8776
2025-12-31,87648.22,2971.64,124.65,864.3,1.8423
2026-01-01,88839.04,3004.19,126.9,864.39,1.8799
2026-01-02,89995.13,3125.45,132.29,881.25,2.0069
2026-01-03,90628.01,3127.11,133.37,878.63,2.0182
2026-01-04,91529.73,3144.7,134.12,895.43,2.0909
2026-01-05,93859.71,3224.99,137.9,910.31,2.3478
2026-01-06,93747.97,3296.84,141.08,917.64,2.3042
2026-01-07,91364.16,3168.72,136.39,900.3,2.1657
2026-01-08,91099.99,3106.65,138.37,892.26,2.1232
2026-01-09,90641.28,3088.4,135.97,896.86,2.0958
2026-01-10,90504.7,3086.72,135.84,907.93,2.0907
2026-01-11,91013.65,3123.45,139.7,904.32,2.0745
2026-01-12,91296.2,3095.75,139.22,905.78,2.054
2026-01-13,95414.0,3325.82,145.51,943.73,2.1655
2026-01-14,96951.78,3354.92,146.69,948.47,2.1394
2026-01-15,95604.8,3318.69,142.4,931.2,2.0789
2026-01-16,95550.94,3296.28,144.89,938.16,2.0678
2026-01-17,95147.77,3310.56,143.72,947.12,2.0631
2026-01-18,93673.14,3284.03,137.87,932.51,1.9914
2026-01-19,92631.0,3189.55,133.44,923.6,1.986
2026-01-20,88427.66,2939.88,125.8,884.2,1.89
2026-01-21,89454.73,2982.27,129.54,883.36,1.9476
2026-01-22,89559.67,2952.69,128.47,888.06,1.9236
2026-01-23,89600.26,2956.41,127.43,891.63,1.9196
2026-01-24,89225.34,2953.22,127.21,887.17,1.9143
2026-01-25,86670.36,2816.89,118.85,866.02,1.8356
2026-01-26,88347.08,2930.35,124.24,879.41,1.9041
2026-01-27,89250.0,3026.77,127.19,898.36,1.9158
2026-01-28,89299.99,3010.78,125.35,902.91,1.9111
2026-01-29,84650.16,2822.59,117.82,868.69,1.8076
2026-01-30,84260.49,2707.38,117.59,858.81,1.7352
2026-01-31,78741.09,2451.95,105.58,781.38,1.6472
2026-02-01,76968.21,2270.15,100.79,758.54,1.5908
2026-02-02,78738.61,2347.02,104.55,773.94,1.6198
2026-02-03,75770.21,2233.72,97.89,754.78,1.5791
2026-02-04,73165.83,2148.26,92.12,697.27,1.512
2026-02-05,62909.86,1826.83,78.35,608.3,1.2146
2026-02-06,70580.26,2063.38,87.46,657.21,1.4698
2026-02-07,69289.38,2087.08,87.59,647.0,1.4231
2026-02-08,70330.38,2089.74,86.99,639.93,1.4308
2026-02-09,70138.0,2105.02,86.77,636.39,1.437
2026-02-10,68841.29,2022.67,82.99,619.85,1.3999
2026-02-11,67082.52,1941.18,79.3,608.11,1.3697
2026-02-12,66272.17,1947.85,78.4,614.29,1.3635
2026-02-13,68853.96,2048.72,84.33,618.94,1.4071
2026-02-14,69822.95,2086.59,88.06,632.77,1.5094
2026-02-15,68832.58,1966.58,86.16,615.16,1.4753
2026-02-16,68892.43,1998.33,86.45,627.19,1.4876
2026-02-17,67503.52,1991.66,85.08,617.74,1.4743
2026-02-18,66461.0,1955.91,81.61,604.8,1.4219
2026-02-19,67003.73,1949.08,82.5,607.83,1.4068
2026-02-20,68020.01,1968.88,84.67,625.91,1.4292
2026-02-21,67975.93,1973.35,85.17,625.61,1.4304
2026-02-22,67643.4,1957.82,82.79,614.8,1.3932
2026-02-23,64656.02,1856.3,77.9,596.41,1.3518
2026-02-24,64058.15,1851.94,78.99,583.6,1.3482
2026-02-25,67988.04,2057.48,88.06,629.42,1.4339
2026-02-26,67485.18,2027.68,85.91,625.74,1.4027
2026-02-27,65872.1,1929.84,81.85,614.03,1.3562
2026-02-28,66973.26,1964.51,84.35,617.14,1.3762
2026-03-01,65776.47,1939.71,83.6,617.96,1.3524
2026-03-02,68830.06,2027.35,86.64,637.79,1.39
2026-03-03,68338.0,1982.8,86.97,633.56,1.3607
2026-03-04,72666.77,2127.28,90.85,657.99,1.4309
2026-03-05,70890.72,2072.86,88.77,647.85,1.4037
2026-03-06,68114.02,1978.68,84.7,627.31,1.3633
2026-03-07,67262.91,1969.59,83.22,620.26,1.3567
2026-03-08,65971.2,1937.1,81.59,611.98,1.34
2026-03-09,68432.16,1992.98,84.96,634.64,1.3631
2026-03-10,69948.63,2036.51,85.88,642.0,1.3863
2026-03-11,70191.86,2051.97,86.58,651.46,1.3847
2026-03-12,70541.34,2073.52,86.84,651.72,1.3846
2026-03-13,70930.0,2092.22,88.18,655.73,1.3989
2026-03-14,71211.95,2096.16,88.03,657.7,1.4063
2026-03-15,72815.24,2178.3,92.3,673.77,1.4487
2026-03-16,74884.67,2352.97,96.2,679.71,1.543
2026-03-17,73909.36,2317.39,94.62,668.61,1.5182
2026-03-18,71246.54,2203.39,90.08,652.27,1.4647
2026-03-19,69930.0,2137.81,88.89,639.15,1.4475
2026-03-20,70510.73,2146.22,89.84,642.11,1.4452
2026-03-21,68918.12,2084.87,87.56,630.7,1.4086
2026-03-22,67859.0,2053.89,86.2,626.41,1.3848
2026-03-23,70906.45,2152.03,91.43,639.11,1.4323
2026-03-24,70556.74,2156.23,90.8,638.3,1.416
2026-03-25,71336.53,2169.02,91.7,647.66,1.4145
2026-03-26,68820.31,2060.43,86.53,628.86,1.3609
2026-03-27,66407.28,1992.75,83.11,613.95,1.3257
2026-03-28,66377.03,1994.74,82.09,611.08,1.3333
2026-03-29,66010.93,1984.64,81.44,606.09,1.3278
2026-03-30,66797.37,2026.48,82.54,609.29,1.3242
2026-03-31,68284.48,2105.43,83.2,617.43,1.3411
2026-04-01,68113.92,2140.35,81.18,610.81,1.3478
2026-04-02,66901.99,2057.17,78.94,583.52,1.32
2026-04-03,66964.3,2053.83,80.4,588.31,1.3184
2026-04-04,67300.42,2065.52,80.83,593.36,1.3153
2026-04-05,69034.18,2110.17,81.89,601.5,1.3263
2026-04-06,68853.66,2107.16,80.03,600.11,1.3212
2026-04-07,71924.22,2240.01,85.56,620.1,1.3787
2026-04-08,71069.93,2190.0,82.57,601.16,1.3428
2026-04-09,71787.97,2190.2,83.33,603.03,1.3438
2026-04-10,72962.7,2245.05,84.83,605.54,1.3559
2026-04-11,73043.16,2284.99,84.93,607.05,1.3546
2026-04-12,70740.98,2191.65,81.53,592.19,1.3247
2026-04-13,74417.99,2369.46,86.51,614.71,1.3756
2026-04-14,74131.55,2322.44,83.72,613.75,1.3617
2026-04-15,74809.99,2359.95,84.9,622.59,1.3922
2026-04-16,75154.29,2348.17,89.05,635.77,1.453
2026-04-17,77072.0,2419.0,88.76,643.12,1.4757
2026-04-18,75691.76,2350.32,86.16,629.9,1.4323
2026-04-19,73801.79,2263.27,83.47,616.06,1.3942
2026-04-20,75840.97,2313.85,85.28,629.26,1.4243
2026-04-21,76336.15,2327.14,86.03,631.72,1.4334
2026-04-22,78178.23,2374.07,86.87,637.47,1.4294
2026-04-23,78257.48,2330.26,86.12,638.54,1.4386
2026-04-24,77437.13,2314.99,86.18,636.21,1.4334
2026-04-25,77625.0,2319.5,86.18,628.53,1.4238
2026-04-26,78657.55,2369.44,86.93,635.76,1.4307
2026-04-27,77371.32,2303.67,84.82,626.83,1.4007
2026-04-28,76342.77,2289.42,84.06,624.55,1.3805
2026-04-29,75780.0,2252.9,83.04,617.39,1.3691
2026-04-30,76346.57,2257.51,83.09,615.38,1.3679
2026-05-01,78231.13,2295.63,83.76,615.34,1.3858
2026-05-02,78686.85,2316.97,84.26,618.03,1.3937
2026-05-03,78568.57,2322.65,83.91,617.27,1.388
2026-05-04,79861.01,2347.16,84.1,622.63,1.3918
2026-05-05,80905.52,2360.77,86.29,630.42,1.4126
2026-05-06,81447.01,2350.84,89.16,647.74,1.4249
2026-05-07,80006.0,2291.06,88.42,637.02,1.3869
2026-05-08,80193.17,2307.06,92.01,649.36,1.4182
2026-05-09,80678.4,2326.44,93.13,649.75,1.4205
2026-05-10,82210.07,2371.27,96.47,663.55,1.4734
2026-05-11,81745.65,2339.87,97.37,670.6,1.4776
2026-05-12,80504.47,2274.96,94.28,664.95,1.437
2026-05-13,79313.61,2258.65,91.17,671.68,1.4273
2026-05-14,81089.99,2283.25,92.15,678.27,1.4852
2026-05-15,79113.21,2224.66,89.24,672.38,1.434
2026-05-16,78148.05,2180.77,86.54,656.2,1.4136
2026-05-17,77457.67,2131.0,85.24,649.48,1.4016
2026-05-18,77001.87,2130.08,85.38,643.53,1.39
2026-05-19,76834.36,2111.93,84.29,640.02,1.3616
2026-05-20,77552.23,2129.44,86.17,649.5,1.3672
2026-05-21,77615.52,2133.76,87.36,658.58,1.3739
2026-05-22,75539.5,2065.85,84.4,650.44,1.3345
2026-05-23,76752.01,2117.68,85.75,656.26,1.3583
2026-05-24,77064.96,2099.85,85.27,656.57,1.351
2026-05-25,77322.01,2113.01,85.06,663.15,1.3503
2026-05-26,75930.01,2073.77,83.72,656.43,1.3292
2026-05-27,74449.3,2024.84,82.44,648.84,1.3076
2026-05-28,73617.51,2009.9,82.11,638.24,1.3156
2026-05-29,73460.78,2014.54,82.04,643.1,1.33
2026-05-30,73884.38,2022.44,82.73,718.74,1.3408
2026-05-31,73674.39,2007.01,82.44,710.55,1.333
2026-06-01,71408.9,2006.73,81.28,693.1,1.2972
2026-06-02,66760.83,1859.84,74.23,650.69,1.2117
2026-06-03,64142.75,1813.05,71.61,620.63,1.2012
2026-06-04,63885.99,1770.77,68.88,604.53,1.1688
2026-06-05,61056.47,1583.4,63.64,572.22,1.0978
2026-06-06,60884.62,1569.69,62.2,574.53,1.0934
2026-06-07,63332.01,1690.51,66.5,604.44,1.1556
2026-06-08,63085.99,1690.49,66.82,601.86,1.1683
2026-06-09,61730.0,1639.52,64.96,593.44,1.1375
2026-06-10,61510.99,1621.59,63.19,586.53,1.097
2026-06-11,63625.99,1673.46,66.93,605.76,1.1428
2026-06-12,63580.01,1666.41,66.82,603.83,1.1325
2026-06-13,64458.01,1681.18,68.94,609.65,1.1507
2026-06-14,65746.45,1725.62,71.28,616.79,1.1861
2026-06-15,66328.74,1796.13,73.98,617.87,1.2382
2026-06-16,65675.01,1792.99,73.52,604.94,1.2173
2026-06-17,64509.4,1750.6,72.05,601.63,1.1868
2026-06-18,62958.01,1711.11,69.71,578.48,1.1465
